sample,kernel_name,kernel_M,use_oq,impose_null_integral,log_prob_p,log_prob_q,noise_power,var,r,T,Oq,SNR_q,SNR_p
0,Matern12Kernel,16,False,False,138.83440818738657,441.74599004625816,0.00040827103231623284,1.1684683239350349,0.26896533068290873,6.655425735270726,0.9990000000000006,60.0,33.89051433085844
0,Matern12Kernel,16,False,True,143.55001780740804,441.74599004625816,0.00040582665819933697,1.5771255602273155,0.4007487207264442,6.653356093848356,0.9989999999999989,60.0,33.91659428153817
0,Matern12Kernel,16,True,False,161.2854891646128,441.74599004625816,0.00027838325564627053,0.33471574457706904,0.7322968239376942,6.653351222599882,0.5677841276966588,60.0,35.55356890466371
0,Matern12Kernel,16,True,True,166.30246897269691,441.74599004625816,0.00027283093330337843,0.5736023693201487,1.1367990800642263,6.65715128516738,0.5655709277267243,60.0,35.641063913419536
0,Matern32Kernel,16,False,False,137.86509285790717,441.74599004625816,0.000404269109992182,1.398506329637252,0.16529712434532234,6.65365607868907,0.9989999999999993,60.0,33.93329441630607
0,Matern32Kernel,16,False,True,143.49407889619877,441.74599004625816,0.00039434753862247754,1.878610151124301,0.2110189336522653,6.650476192791663,0.9989999999999997,60.0,34.04120865541676
0,Matern32Kernel,16,True,False,161.17914359611973,441.74599004625816,0.00027481965352130086,0.5803633525837221,0.3368717582195032,6.6517103782348395,0.5704502652764077,60.0,35.60952212257896
0,Matern32Kernel,16,True,True,166.88972981929467,441.74599004625816,0.0002692506616641986,0.9137371029326891,0.42437430405955306,6.65294059170037,0.5684664140727624,60.0,35.698432207811145
0,Matern52Kernel,16,False,False,137.27917732567684,441.74599004625816,0.00040356325545996163,1.3559198333600486,0.13620868461229563,6.651564770451411,0.998999999999999,60.0,33.940883832613025
0,Matern52Kernel,16,False,True,142.3997827448611,441.74599004625816,0.0003921721649005266,2.005034261992516,0.16979275707530972,6.650743720121812,0.9990000000000001,60.0,34.06523234378332
0,Matern52Kernel,16,True,False,160.40967799930743,441.74599004625816,0.00027006914521905125,0.5068873993499083,0.218107570641877,6.654266360679383,0.5714133633991094,60.0,35.68525030127767
0,Matern52Kernel,16,True,True,165.87538743942224,441.74599004625816,0.00027215337705731286,0.7815421915863465,0.2755015867509516,6.649944681019443,0.5698223079854073,60.0,35.65186272303158
0,SqExponentialKernel,16,False,False,137.87009099276068,441.74599004625816,0.00039180635017833237,1.1000081521238956,0.09723421611253427,6.650287433060765,0.9989999999999993,60.0,34.069285294820176
0,SqExponentialKernel,16,False,True,142.45939861074578,441.74599004625816,0.00038556024067903135,1.7054853239117824,0.11324534286794252,6.654263039660949,0.9990000000000006,60.0,34.139077573002695
0,SqExponentialKernel,16,True,False,159.4488480886093,441.74599004625816,0.0002710471529689674,0.2659410207710409,0.11374239451056879,6.647584084744735,0.5751558881145392,60.0,35.669551501113375
0,SqExponentialKernel,16,True,True,164.6458606516544,441.74599004625816,0.0002718764974629734,0.37493644830691775,0.12897192895669726,6.646239797784787,0.5739167145206028,60.0,35.65628333653048
0,Matern12Kernel,32,False,False,146.60542052745365,441.74599004625816,0.0002691557561026654,0.34312214900266963,1.4415384119630956,6.666965188610173,0.9990000000000009,60.0,35.69996328027769
0,Matern12Kernel,32,False,True,150.93744275732737,441.74599004625816,0.0002753425441551102,0.24921646935234845,0.9778048076497221,6.668361844536045,0.9990000000000006,60.0,35.60126679037914
0,Matern12Kernel,32,True,False,179.8093050560536,441.74599004625816,0.0001068239428376522,0.20018784003375334,1.5649633840483368,6.7650694352748975,0.5921560480205316,60.0,39.713313964002666
0,Matern12Kernel,32,True,True,184.1644176617022,441.74599004625816,0.00010784197861618273,0.28327861544963184,2.065476829940134,6.768715311925032,0.5913221356768902,60.0,39.67212152576124
0,Matern32Kernel,32,False,False,144.93001947007252,441.74599004625816,0.0002765375277687701,0.40648005732611464,0.2544358302167566,6.6498554337426095,0.9989999999999991,60.0,35.58245924044741
0,Matern32Kernel,32,False,True,149.982749925034,441.74599004625816,0.00027644528407589085,0.8843382310270623,0.34392151783470837,6.6479044383347405,0.9989999999999991,60.0,35.58390814360756
0,Matern32Kernel,32,True,False,178.0729243764581,441.74599004625816,0.0001145927371299855,0.3903007486808033,0.31104062711056607,6.769305203277524,0.5892187252017658,60.0,39.408429070137
0,Matern32Kernel,32,True,True,182.75620771075762,441.74599004625816,0.00011114959812791127,0.6871920975688721,0.38365661382450134,6.767194895627707,0.5878132949223436,60.0,39.54092103195725
0,Matern52Kernel,32,False,False,143.97517032930867,441.74599004625816,0.000278774769029729,0.24472037752756912,0.14535342015218186,6.649186217073681,0.9990000000000004,60.0,35.54746535333776
0,Matern52Kernel,32,False,True,148.51138151758286,441.74599004625816,0.00027910552789875214,0.6700335882173811,0.19393117468956256,6.649570949249077,0.9989999999999998,60.0,35.54231561891339
0,Matern52Kernel,32,True,False,176.44648707871198,441.74599004625816,0.000112868308338398,0.1533458054858063,0.14032717376895903,6.76482796870961,0.5884549817207719,60.0,39.47427984079154
0,Matern52Kernel,32,True,True,180.27162006628805,441.74599004625816,0.00011430890424070165,0.2793368080341359,0.16863838845390333,6.759609792302448,0.5898832861897494,60.0,39.419199383537695
0,SqExponentialKernel,32,False,False,143.3832573383463,441.74599004625816,0.0002843099649280688,0.12451987818570345,0.07629428861200682,6.65067648696423,0.9989999999999989,60.0,35.46207918229256
0,SqExponentialKernel,32,False,True,146.33128736625702,441.74599004625816,0.0002966421664749509,0.3041286633788559,0.0906029737849442,6.649490071155389,0.9989999999999999,60.0,35.27767115729095
